2024-12-11 11:43:53,570 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-12-11 11:43:54,561 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping              - Adding welcome page: class path resource [public/index.html]
2024-12-11 11:43:54,606 [main] INFO  o.s.s.web.DefaultSecurityFilterChain               - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4257163f, org.springframework.security.web.context.SecurityContextPersistenceFilter@255482cb, org.springframework.security.web.header.HeaderWriterFilter@321558f8, org.springframework.web.filter.CorsFilter@40e7aea9, org.springframework.security.web.authentication.logout.LogoutFilter@2f3565c0, org.fatmansoft.teach.security.jwt.AuthTokenFilter@3c38e2bf, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@641255d1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@600a1270, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@63ff861e, org.springframework.security.web.session.SessionManagementFilter@ab5dde4, org.springframework.security.web.access.ExceptionTranslationFilter@309b8144, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@62eb918]
2024-12-11 11:43:54,883 [main] INFO  o.apache.coyote.http11.Http11NioProtocol           - Starting ProtocolHandler ["http-nio-9090"]
2024-12-11 11:43:54,920 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer            - Tomcat started on port(s): 9090 (http) with context path ''
2024-12-11 11:43:54,927 [main] INFO  o.f.t.SpringBootSecurityJwtApplication             - Started SpringBootSecurityJwtApplication in 4.742 seconds (JVM running for 5.715)
2024-12-11 11:43:54,930 [main] INFO  o.f.teach.SystemApplicationListener                - SystemInitStart
2024-12-11 11:43:54,992 [main] INFO  o.f.teach.SystemApplicationListener                - systemInitEnd
2024-12-11 11:43:59,042 [http-nio-9090-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/]                 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-12-11 11:43:59,042 [http-nio-9090-exec-2] INFO  o.s.web.servlet.DispatcherServlet                  - Initializing Servlet 'dispatcherServlet'
2024-12-11 11:43:59,044 [http-nio-9090-exec-2] INFO  o.s.web.servlet.DispatcherServlet                  - Completed initialization in 1 ms
2024-12-11 11:43:59,207 [http-nio-9090-exec-2] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/uploadPhotoWeb,2022030001,2024-12-11 11:43:59,0.14
2024-12-11 11:43:59,553 [http-nio-9090-exec-1] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/getPhotoImageStr,2022030001,2024-12-11 11:43:59,0.029
2024-12-11 11:44:16,002 [http-nio-9090-exec-3] ERROR o.f.teach.security.jwt.AuthEntryPointJwt           - Unauthorized error: /api/student/getStudentIntroduceData:Full authentication is required to access this resource
2024-12-11 11:44:16,003 [http-nio-9090-exec-3] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/student/getStudentIntroduceData,,2024-12-11 11:44:16,0.002
2024-12-11 11:44:16,921 [http-nio-9090-exec-4] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /auth/getValidateCode,,2024-12-11 11:44:16,0.549
2024-12-11 11:44:20,420 [http-nio-9090-exec-6] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /auth/testValidateInfo,,2024-12-11 11:44:20,0.002
2024-12-11 11:44:20,593 [http-nio-9090-exec-7] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /auth/login,,2024-12-11 11:44:20,0.167
2024-12-11 11:44:20,615 [http-nio-9090-exec-5] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /auth/getValidateCode,2022030001,2024-12-11 11:44:20,0.009
2024-12-11 11:44:20,649 [http-nio-9090-exec-8] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/getMenuList,2022030001,2024-12-11 11:44:20,0.021
2024-12-11 11:44:20,708 [http-nio-9090-exec-9] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/statistics/getMainPageData,2022030001,2024-12-11 11:44:20,0.011
2024-12-11 11:44:23,314 [http-nio-9090-exec-10] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/student/getStudentIntroduceData,2022030001,2024-12-11 11:44:23,0.032
2024-12-11 11:44:23,328 [http-nio-9090-exec-2] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/getPhotoImageStr,2022030001,2024-12-11 11:44:23,0.005
2024-12-11 11:44:27,377 [http-nio-9090-exec-1] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/uploadPhotoWeb,2022030001,2024-12-11 11:44:27,0.007
2024-12-11 11:44:27,390 [http-nio-9090-exec-3] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/getPhotoImageStr,2022030001,2024-12-11 11:44:27,0.004
2024-12-11 11:44:31,040 [http-nio-9090-exec-4] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/student/getStudentIntroduceData,2022030001,2024-12-11 11:44:31,0.01
2024-12-11 11:44:31,053 [http-nio-9090-exec-6] INFO  o.f.teach.security.jwt.AuthTokenFilter             - /api/base/getPhotoImageStr,2022030001,2024-12-11 11:44:31,0.005
2024-12-11 11:44:55,411 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-12-11 11:44:55,412 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource                 - HikariPool-1 - Shutdown initiated...
2024-12-11 11:44:55,414 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource                 - HikariPool-1 - Shutdown completed.
2024-12-11 11:44:57,354 [background-preinit] INFO  o.h.validator.internal.util.Version                - HV000001: Hibernate Validator 6.2.0.Final
2024-12-11 11:44:57,359 [main] INFO  o.f.t.SpringBootSecurityJwtApplication             - Starting SpringBootSecurityJwtApplication using Java 17.0.10 on Tan_Thinkbook with PID 224084 (D:\23993\OneDrive\IDEA\WebCourseDesign\java-server\target\classes started by 23993 in D:\23993\OneDrive\IDEA\WebCourseDesign\java-server)
2024-12-11 11:44:57,360 [main] INFO  o.f.t.SpringBootSecurityJwtApplication             - No active profile set, falling back to default profiles: default
2024-12-11 11:44:57,930 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Multiple Spring Data modules found, entering strict repository configuration mode!
2024-12-11 11:44:57,931 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-12-11 11:44:58,064 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 128 ms. Found 22 JPA repository interfaces.
2024-12-11 11:44:58,285 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@27329d2a' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-12-11 11:44:58,289 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2024-12-11 11:44:58,456 [main] INFO  o.s.b.w.embedded.tomcat.TomcatWebServer            - Tomcat initialized with port(s): 9090 (http)
2024-12-11 11:44:58,463 [main] INFO  o.apache.coyote.http11.Http11NioProtocol           - Initializing ProtocolHandler ["http-nio-9090"]
2024-12-11 11:44:58,463 [main] INFO  org.apache.catalina.core.StandardService           - Starting service [Tomcat]
2024-12-11 11:44:58,463 [main] INFO  org.apache.catalina.core.StandardEngine            - Starting Servlet engine: [Apache Tomcat/9.0.46]
